headline,date,link
Daily Post Nigeria,16 seconds ago,https://dailypost.ng/
NPFL: Lobi Stars unlucky in draw against Akwa United – Agagbe,23 mins ago,https://dailypost.ng/
Fish out security operatives that assaulted AAUA students – NANS tells Aiyedatiwa,29 mins ago,https://dailypost.ng/hot-news/
NOSDRA DG Woke flays Ada George’s comments on Wike,40 mins ago,https://dailypost.ng/politics/
Ajaero: ‘Necessary step’ – Odua Peoples Assembly backs arrest of NLC President,46 mins ago,https://dailypost.ng/metro/
"NOA, NPC, UNICEF begin birth registration exercise in Akwa Ibom",1 hour ago,https://dailypost.ng/sport-news/
"Stray elephants invade Borno communities, destroy farmlands",2 hours ago,https://dailypost.ng/entertainment/
Abia’s boundary dispute with Cross River will soon be resolved – Otti,2 hours ago,https://dailypost.ng/opinion/
"Fuel increase: Abiodun warns against fare exploitation, to release 100 CNG buses",2 hours ago,https://dailypost.ng/education/
"Police arrest gateman, burglar for stealing properties worth N2m in Ogun",3 hours ago,https://dailypost.ng/health/
"Kwara Poly students issue 24-hour ultimatum to police over murder of student, Abdulqoyyum Ishola",3 hours ago,https://dailypost.ng/interview/
"Ajaero, SERAP: Abacha’s spirit has taken over Presidential Villa – Inibehe Effiong",3 hours ago,http://dailypost.com.gh/
Daily Post Nigeria,2 hours ago,https://dailypost.ng/
ASUU urges Tinubu to implement Prof Nimi Briggs committee’s agreement,2 hours ago,https://dailypost.ng/
Intervene in Kano royal crisis – Arewa community begs Tinubu,2 hours ago,https://dailypost.ng/hot-news/
Traders blame high cost of food items in Nigeria on insecurity,2 hours ago,https://dailypost.ng/politics/
"Age falsification: Civil servants manipulating court affidavits, NPC certificates – Abia Govt",2 hours ago,https://dailypost.ng/metro/
Ekiti SUBEB sanctions head teacher over illegal collection of fees,2 hours ago,https://dailypost.ng/sport-news/
Troops repel suspected IPOB terrorists attack on Ebonyi police station,3 hours ago,https://dailypost.ng/entertainment/
Edo Guber: Court upholds Kadiri as LP deputy governorship candidate,3 hours ago,https://dailypost.ng/opinion/
No request for presidential jet before Senate – Akpabio,3 hours ago,https://dailypost.ng/education/
"Reps finally grant Tinubu’s request, extend 2023 budget",3 hours ago,https://dailypost.ng/health/
Yahoo: Ten jailed for internet fraud in Kwara,4 hours ago,https://dailypost.ng/interview/
Alleged NIMC data breach under investigation — Nigerian Govt,4 hours ago,http://dailypost.com.gh/
Daily Post Nigeria,5 hours ago,https://dailypost.ng/
Reps in rowdy session over 2023 budget extension,5 hours ago,https://dailypost.ng/
